7025;Fabien;Limbecker;1999-10-04;GER 
6734;Marius;Lindvik;1998-06-27;NOR 
7647;Miha;Lipovsek Rocnik;2003-08-14;SLO 
6981;Carl Henning;Lippestad;1998-03-19;NOR 
7143;Justin;Lisso;1999-12-12;GER 
6865;Adrian Sørensen;Livelten;1994-06-16;NOR 
7457;Jake;Lock;1997-09-02;GBR 
7458;Robert;Lock;1997-09-02;GBR 
7081;Jostein;Lø;1994-09-16;NOR 
6761;Marc Oliver;Löffler;1994-01-01;GER 
7275;Niko;Löytäinen;1998-09-12;FIN 
6426;Rauno;Loit;1995-01-22;EST 
6690;Alessio;Longo;1998-05-05;ITA 
6906;Wili;Loukasmäki;1997-05-27;FIN 
7135;Sebastian;Ludwig;2000-04-09;GER 
6804;Olof;Lundgren;1997-10-08;SWE 
7066;Maksim;Łunkin;1987-12-13;RUS 
6672;Miles;Lussi;1997-06-28;USA 
7672;Arthur;Luthardt;2002-06-02;GER 
7431;Markus;Månum;1998-05-30;NOR 
6273;Minato;Mabuchi;1992-06-28;JPN 
7301;Tomoru;Mabuchi;1995-03-30;JPN 
7625;Lucas;Mach;2004-08-13;GER 
6609;Jørgen;Madsen;1994-06-01;NOR 
5796;Jarkko;Määttä;1994-12-28;FIN 
7112;Kilian;Märkl;2000-04-10;GER 
7472;Andrei;Magdo;2001-04-18;ROU 
7326;Bartłomiej;Magdziak;1999-02-21;POL 
5808;Nathaniel;Mah;1995-09-08;CAN 
5926;Florian;Maier;1994-11-15;GER 
7663;Stanisław;Majerczyk;2003-10-30;POL 
6863;Daniel;Mąka;1997-01-06;POL 
6742;Maksim;Maksimoczkin;1999-12-09;RUS 
6194;Michaił;Maksimoczkin;1993-08-29;RUS 
7325;Matevz;Malovrh;1999-08-21;SLO 
7696;Mateusz;Małyjurek;2001-06-29;POL 
7426;Walentin;Małyszew;1997-07-15;RUS 
7145;Ludwig;Mannhardt;1999-12-23;GER 
7693;Aleksandr;Marczukow;2000-10-08;RUS 
7599;Domenico;Mariotti;2001-10-09;ITA 
7588;Thomas Åsen;Markeng;2000-06-18;NOR 
7427;Artiom;Markin;1996-09-07;RUS 
7425;Wiktor;Markin;1997-01-17;RUS 
7277;Joni;Markkanen;1998-01-06;FIN 
7042;Idar;Marø;1995-04-11;NOR 
5357;Wojciech;Marusarz;1993-05-28;POL 
7230;Jewhen;Marusjak;2000-03-16;UKR 
7620;Rok;Masle;2004-04-20;SLO 
7705;Nikołaj;Matawin;1997-01-24;RUS 
7727;Vojtech;Matejka;1999-02-17;CZE 
